constellation_id,Constellation,star_id,Name,galaxy_id,Galaxy
297,Ursa Major,123,Dubhe,8,Bode's Galaxy
298,Ursa Major,123,Dubhe,16,Cigar Galaxy
299,Ursa Major,123,Dubhe,18,Coddington's Nebula
300,Ursa Major,123,Dubhe,35,Helix Galaxy
301,Ursa Major,123,Dubhe,41,Keenan's System
302,Ursa Major,123,Dubhe,53,Mayall's Object
303,Ursa Major,123,Dubhe,55,Medusa Merger
304,Ursa Major,123,Dubhe,64,Pinwheel Galaxy
305,Ursa Major,123,Dubhe,85,The Guitar
306,Ursa Major,123,Dubhe,90,Whirlpool Galaxy
307,Ursa Major,160,Intercrus,8,Bode's Galaxy
308,Ursa Major,160,Intercrus,16,Cigar Galaxy
309,Ursa Major,160,Intercrus,18,Coddington's Nebula
310,Ursa Major,160,Intercrus,35,Helix Galaxy
311,Ursa Major,160,Intercrus,41,Keenan's System
312,Ursa Major,160,Intercrus,53,Mayall's Object
313,Ursa Major,160,Intercrus,55,Medusa Merger
314,Ursa Major,160,Intercrus,64,Pinwheel Galaxy
315,Ursa Major,160,Intercrus,85,The Guitar
316,Ursa Major,160,Intercrus,90,Whirlpool Galaxy
317,Ursa Major,191,Megrez,8,Bode's Galaxy
318,Ursa Major,191,Megrez,16,Cigar Galaxy
319,Ursa Major,191,Megrez,18,Coddington's Nebula
320,Ursa Major,191,Megrez,35,Helix Galaxy
321,Ursa Major,191,Megrez,41,Keenan's System
322,Ursa Major,191,Megrez,53,Mayall's Object
323,Ursa Major,191,Megrez,55,Medusa Merger
324,Ursa Major,191,Megrez,64,Pinwheel Galaxy
325,Ursa Major,191,Megrez,85,The Guitar
326,Ursa Major,191,Megrez,90,Whirlpool Galaxy
327,Ursa Major,199,Merak,8,Bode's Galaxy
328,Ursa Major,199,Merak,16,Cigar Galaxy
329,Ursa Major,199,Merak,18,Coddington's Nebula
330,Ursa Major,199,Merak,35,Helix Galaxy
331,Ursa Major,199,Merak,41,Keenan's System
332,Ursa Major,199,Merak,53,Mayall's Object
333,Ursa Major,199,Merak,55,Medusa Merger
334,Ursa Major,199,Merak,64,Pinwheel Galaxy
335,Ursa Major,199,Merak,85,The Guitar
336,Ursa Major,199,Merak,90,Whirlpool Galaxy
337,Ursa Major,215,Mizar,8,Bode's Galaxy
338,Ursa Major,215,Mizar,16,Cigar Galaxy
339,Ursa Major,215,Mizar,18,Coddington's Nebula
340,Ursa Major,215,Mizar,35,Helix Galaxy
341,Ursa Major,215,Mizar,41,Keenan's System
342,Ursa Major,215,Mizar,53,Mayall's Object
343,Ursa Major,215,Mizar,55,Medusa Merger
344,Ursa Major,215,Mizar,64,Pinwheel Galaxy
345,Ursa Major,215,Mizar,85,The Guitar
346,Ursa Major,215,Mizar,90,Whirlpool Galaxy
347,Ursa Major,219,Muscida,8,Bode's Galaxy
348,Ursa Major,219,Muscida,16,Cigar Galaxy
349,Ursa Major,219,Muscida,18,Coddington's Nebula
350,Ursa Major,219,Muscida,35,Helix Galaxy
351,Ursa Major,219,Muscida,41,Keenan's System
352,Ursa Major,219,Muscida,53,Mayall's Object
353,Ursa Major,219,Muscida,55,Medusa Merger
354,Ursa Major,219,Muscida,64,Pinwheel Galaxy
355,Ursa Major,219,Muscida,85,The Guitar
356,Ursa Major,219,Muscida,90,Whirlpool Galaxy
357,Ursa Major,234,Phecda,8,Bode's Galaxy
358,Ursa Major,234,Phecda,16,Cigar Galaxy
359,Ursa Major,234,Phecda,18,Coddington's Nebula
360,Ursa Major,234,Phecda,35,Helix Galaxy
361,Ursa Major,234,Phecda,41,Keenan's System
362,Ursa Major,234,Phecda,53,Mayall's Object
363,Ursa Major,234,Phecda,55,Medusa Merger
364,Ursa Major,234,Phecda,64,Pinwheel Galaxy
365,Ursa Major,234,Phecda,85,The Guitar
366,Ursa Major,234,Phecda,90,Whirlpool Galaxy
367,Ursa Major,292,Taiyangshou,8,Bode's Galaxy
368,Ursa Major,292,Taiyangshou,16,Cigar Galaxy
369,Ursa Major,292,Taiyangshou,18,Coddington's Nebula
370,Ursa Major,292,Taiyangshou,35,Helix Galaxy
371,Ursa Major,292,Taiyangshou,41,Keenan's System
372,Ursa Major,292,Taiyangshou,53,Mayall's Object
373,Ursa Major,292,Taiyangshou,55,Medusa Merger
374,Ursa Major,292,Taiyangshou,64,Pinwheel Galaxy
375,Ursa Major,292,Taiyangshou,85,The Guitar
376,Ursa Major,292,Taiyangshou,90,Whirlpool Galaxy
377,Ursa Major,294,Talitha,8,Bode's Galaxy
378,Ursa Major,294,Talitha,16,Cigar Galaxy
379,Ursa Major,294,Talitha,18,Coddington's Nebula
380,Ursa Major,294,Talitha,35,Helix Galaxy
381,Ursa Major,294,Talitha,41,Keenan's System
382,Ursa Major,294,Talitha,53,Mayall's Object
383,Ursa Major,294,Talitha,55,Medusa Merger
384,Ursa Major,294,Talitha,64,Pinwheel Galaxy
385,Ursa Major,294,Talitha,85,The Guitar
386,Ursa Major,294,Talitha,90,Whirlpool Galaxy
387,Ursa Major,295,Tania Australis,8,Bode's Galaxy
388,Ursa Major,295,Tania Australis,16,Cigar Galaxy
389,Ursa Major,295,Tania Australis,18,Coddington's Nebula
390,Ursa Major,295,Tania Australis,35,Helix Galaxy
391,Ursa Major,295,Tania Australis,41,Keenan's System
392,Ursa Major,295,Tania Australis,53,Mayall's Object
393,Ursa Major,295,Tania Australis,55,Medusa Merger
394,Ursa Major,295,Tania Australis,64,Pinwheel Galaxy
395,Ursa Major,295,Tania Australis,85,The Guitar
396,Ursa Major,295,Tania Australis,90,Whirlpool Galaxy
397,Ursa Major,296,Tania Borealis,8,Bode's Galaxy
398,Ursa Major,296,Tania Borealis,16,Cigar Galaxy
399,Ursa Major,296,Tania Borealis,18,Coddington's Nebula
400,Ursa Major,296,Tania Borealis,35,Helix Galaxy
401,Ursa Major,296,Tania Borealis,41,Keenan's System
402,Ursa Major,296,Tania Borealis,53,Mayall's Object
403,Ursa Major,296,Tania Borealis,55,Medusa Merger
404,Ursa Major,296,Tania Borealis,64,Pinwheel Galaxy
405,Ursa Major,296,Tania Borealis,85,The Guitar
406,Ursa Major,296,Tania Borealis,90,Whirlpool Galaxy
407,Cepheus,20,Alderamin,-1,
408,Cepheus,24,Alfirk,-1,
409,Cepheus,132,Errai,-1,
410,Cepheus,175,Kurhah,-1,
411,Grus,21,Aldhanab,33,Grus Quartet
412,Grus,40,Alnair,33,Grus Quartet
413,Grus,305,Tiaki,33,Grus Quartet
